Effect,Statistic,Value,Num DF,Den DF,F Value,Pr > F
x18,Pillai's trace,0.019765164648113606,15.0,665.0,0.8939241915621953,0.5710670465483674
x18,Hotelling-Lawley trace,0.020163703569072072,15,664.9999999999992,0.8939241915621953,0.5710670465483579
x18,Roy's greatest root,0.020163703569072072,15,665,0.8939241915621953,0.5710670465483674
x19,Wilks' lambda,0.9862869673930381,15,665.0,0.6163971193720972,0.8628862967421544
x19,Pillai's trace,0.013713032606961923,15.0,665.0,0.616397119372099,0.8628862967421544
x19,Hotelling-Lawley trace,0.013903694421927045,15,664.9999999999992,0.616397119372099,0.8628862967421536
x19,Roy's greatest root,0.013903694421927045,15,665,0.6163971193720991,0.8628862967421544
x20,Wilks' lambda,0.9642591205175608,15,665.0,1.64324328389136,0.05801637604462267
x20,Pillai's trace,0.03574087948243925,15.0,665.0,1.6432432838913624,0.05801637604462143
x20,Hotelling-Lawley trace,0.03706563798251193,15,664.9999999999992,1.6432432838913622,0.058016376044622
x20,Roy's greatest root,0.03706563798251193,15,665,1.6432432838913624,0.05801637604462143
x21,Wilks' lambda,0.9820692154507705,15,665.0,0.8094454401406923,0.6676908329687207
x21,Pillai's trace,0.017930784549229487,15.0,665.0,0.809445440140693,0.6676908329687207
x21,Hotelling-Lawley trace,0.018258167822722392,15,664.9999999999992,0.8094454401406928,0.6676908329687132
x21,Roy's greatest root,0.018258167822722392,15,665,0.8094454401406928,0.6676908329687207
x22,Wilks' lambda,0.9855432991615666,15,665.0,0.6503151487263872,0.8334540241233122
x22,Pillai's trace,0.014456714186281859,15.0,665.0,0.6503157579689548,0.8334534716899887
x22,Hotelling-Lawley trace,0.014668749209581727,15,664.9999999999992,0.6503145482914565,0.8334545685694731
x22,Roy's greatest root,0.014667825852221822,15,665,0.6502736127818342,0.8334916850860786
x23,Wilks' lambda,0.9739168794914127,15,665.0,1.1873207049091907,0.27622473321650504
x23,Pillai's trace,0.02608317242340881,15.0,665.0,1.1873231313963022,0.27622278536554934
x23,Hotelling-Lawley trace,0.02678161673035838,15,664.9999999999992,1.1873183417125548,0.2762266302703866
x23,Roy's greatest root,0.026779626217616707,15,665,1.187230095647674,0.27629747611767946
x24,Wilks' lambda,0.9702032130436556,15,665.0,1.3615610324086747,0.1602957065517399
x24,Pillai's trace,0.02979678695634435,15.0,665.0,1.3615610324086744,0.1602957065517399
x24,Hotelling-Lawley trace,0.030711902986661828,15,664.9999999999992,1.3615610324086742,0.16029570655174202
x24,Roy's greatest root,0.030711902986661828,15,665,1.3615610324086744,0.1602957065517399
x25,Wilks' lambda,0.9791879738728663,15,665.0,0.9422771891151281,0.5162802925754246
x25,Pillai's trace,0.020812026127133763,15.0,665.0,0.9422771891151298,0.5162802925754246
x25,Hotelling-Lawley trace,0.021254372686807434,15,664.9999999999992,0.9422771891151296,0.5162802925754202
x25,Roy's greatest root,0.021254372686807434,15,665,0.9422771891151296,0.5162802925754246
x26,Wilks' lambda,0.9733486571138963,15,665.0,1.2138947943422702,0.2554585653253193
x26,Pillai's trace,0.026651509526659053,15.0,665.0,1.2139025921818558,0.25545263800980245
x26,Hotelling-Lawley trace,0.027380914383312957,15,664.9999999999992,1.2138872043268745,0.2554643347626064
x26,Roy's greatest root,0.027374660301880356,15,665,1.213609940050029,0.25567515641861366
x27,Wilks' lambda,0.9757705680976829,15,665.0,1.1008443133275465,0.35153681230216655
x27,Pillai's trace,0.024229608507578028,15.0,665.0,1.1008525364862625,0.35152910468606413
x27,Hotelling-Lawley trace,0.02483089374615248,15,664.9999999999992,1.10083628941276,0.35154433326217194
x27,Roy's greatest root,0.02482360267879278,15,665,1.1005130520931465,0.35184738864193627
x28,Wilks' lambda,0.9733811394620794,15,665.0,1.2123748543487383,0.25661576868139163
x28,Pillai's trace,0.026618860537920657,15.0,665.0,1.21237485434874,0.25661576868139163
x28,Hotelling-Lawley trace,0.027346801225911432,15,664.9999999999992,1.2123748543487403,0.2566157686813846
x28,Roy's greatest root,0.027346801225911432,15,665,1.2123748543487403,0.25661576868139163
x29,Wilks' lambda,0.9770605878363597,15,665.0,1.0408572596029335,0.41031883706761185
x29,Pillai's trace,0.022939699832296746,15.0,665.0,1.0408706187911485,0.41030520472733417
x29,Hotelling-Lawley trace,0.02347768887677779,15,664.9999999999992,1.040844206870482,0.41033215690571995
x29,Roy's greatest root,0.023465141646469692,15,665,1.040287946326823,0.4109000021160731
x30,Wilks' lambda,0.9776484168227453,15,665.0,1.0135751978664742,0.4386175477169236
x30,Pillai's trace,0.02235158317725472,15.0,665.0,1.0135751978664742,0.4386175477169236
x30,Hotelling-Lawley trace,0.022862598448115955,15,664.9999999999992,1.0135751978664742,0.4386175477169103
x30,Roy's greatest root,0.022862598448115955,15,665,1.013575197866474,0.4386175477169236
